Date,Open
2013-01-02,79.117142
2013-01-03,78.268570
2013-01-04,76.709999
2013-01-07,74.571426
2013-01-08,75.601425
2013-01-09,74.642860
2013-01-10,75.507141
2013-01-11,74.428574
2013-01-14,71.811432
2013-01-15,71.185715
2013-01-16,70.662857
2013-01-17,72.901428
2013-01-18,71.217140
2013-01-22,72.080002
2013-01-23,72.687141
2013-01-24,65.714287
2013-01-25,64.527145
2013-01-28,62.547142
2013-01-29,65.500000
2013-01-30,65.285713
2013-01-31,65.282860
2013-02-01,65.587143
2013-02-04,64.844284
2013-02-05,63.435715
2013-02-06,65.209999
2013-02-07,66.178574
2013-02-08,67.714287
2013-02-11,68.071426
2013-02-12,68.501427
2013-02-13,66.744286
2013-02-14,66.360001
2013-02-15,66.978569
2013-02-19,65.871429
2013-02-20,65.384285
2013-02-21,63.714287
2013-02-22,64.178574
2013-02-25,64.835716
2013-02-26,63.402859
2013-02-27,64.061432
2013-02-28,63.435715
2013-03-01,62.571430
2013-03-04,61.114285
2013-03-05,60.211430
2013-03-06,62.072857
2013-03-07,60.642857
2013-03-08,61.400002
2013-03-11,61.392857
2013-03-12,62.228573
2013-03-13,61.207142
2013-03-14,61.832859
2013-03-15,62.561428
2013-03-18,63.064285
2013-03-19,65.642860
2013-03-20,65.345711
2013-03-21,64.317146
2013-03-22,64.940002
2013-03-25,66.384285
2013-03-26,66.491432
2013-03-27,65.208572
2013-03-28,64.260002
2013-04-01,63.128571
2013-04-02,61.085712
2013-04-03,61.624287
2013-04-04,61.965714
2013-04-05,60.642857
2013-04-08,60.692856
2013-04-09,60.908573
2013-04-10,61.157143
2013-04-11,61.959999
2013-04-12,62.021427
2013-04-15,61.000000
2013-04-16,60.224285
2013-04-17,60.038570
2013-04-18,57.855713
2013-04-19,55.424286
2013-04-22,56.091427
2013-04-23,57.712856
2013-04-24,56.220001
2013-04-25,58.747143
2013-04-26,58.544285
2013-04-29,60.064285
2013-04-30,62.157143
2013-05-01,63.494286
2013-05-02,63.111427
2013-05-03,64.472855
2013-05-06,65.101425
2013-05-07,66.424286
2013-05-08,65.577141
2013-05-09,65.687141
2013-05-10,65.424286
2013-05-13,64.501427
2013-05-14,64.835716
2013-05-15,62.737144
2013-05-16,60.462856
2013-05-17,62.721428
2013-05-20,61.701427
2013-05-21,62.592857
2013-05-22,63.435715
2013-05-23,62.278572
2013-05-24,62.978573
2013-05-28,64.271431
2013-05-29,62.857143
2013-05-30,63.664288
2013-05-31,64.642860
2013-06-03,64.389999
2013-06-04,64.745712
2013-06-05,63.664288
2013-06-06,63.638573
2013-06-07,62.357143
2013-06-10,63.532856
2013-06-11,62.248573
2013-06-12,62.785713
2013-06-13,61.785713
2013-06-14,62.200001
2013-06-17,61.634285
2013-06-18,61.651428
2013-06-19,61.628571
2013-06-20,59.900002
2013-06-21,59.784286
2013-06-24,58.200001
2013-06-25,57.957142
2013-06-26,57.700001
2013-06-27,57.035713
2013-06-28,55.908573
2013-07-01,57.527142
2013-07-02,58.565716
2013-07-03,60.122856
2013-07-05,60.055714
2013-07-08,60.015713
2013-07-09,59.085712
2013-07-10,59.942856
2013-07-11,60.421429
2013-07-12,61.092857
2013-07-15,60.715714
2013-07-16,60.931427
2013-07-17,61.385715
2013-07-18,61.911430
2013-07-19,61.871429
2013-07-22,61.351429
2013-07-23,60.857143
2013-07-24,62.704285
2013-07-25,62.957142
2013-07-26,62.185715
2013-07-29,62.971428
2013-07-30,64.279999
2013-07-31,64.998573
2013-08-01,65.107140
2013-08-02,65.430000
2013-08-05,66.384285
2013-08-06,66.860001
2013-08-07,66.257141
2013-08-08,66.265717
2013-08-09,65.519997
2013-08-12,65.265717
2013-08-13,67.277145
2013-08-14,71.125717
2013-08-15,70.917145
2013-08-16,71.449997
2013-08-19,72.048569
2013-08-20,72.815712
2013-08-21,71.941429
2013-08-22,72.139999
2013-08-23,71.895714
2013-08-26,71.535713
2013-08-27,71.142860
2013-08-28,69.428574
2013-08-29,70.235718
2013-08-30,70.285713
2013-09-03,70.442856
2013-09-04,71.365715
