Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,79.117142,79.285713,77.375717,78.432854,68.850548,140129500
2013-01-03,78.268570,78.524284,77.285713,77.442856,67.981491,88241300
2013-01-04,76.709999,76.947144,75.118568,75.285713,66.087891,148583400
2013-01-07,74.571426,75.614288,73.599998,74.842857,65.699158,121039100
2013-01-08,75.601425,75.984283,74.464287,75.044289,65.875954,114676800
2013-01-09,74.642860,75.001427,73.712860,73.871429,64.846390,101901100
2013-01-10,75.507141,75.531425,73.645714,74.787140,65.650238,150286500
2013-01-11,74.428574,75.045715,74.145714,74.328575,65.247704,87626700
2013-01-14,71.811432,72.500000,71.215714,71.678574,62.921452,183551900
2013-01-15,71.185715,71.284286,69.054283,69.417145,60.936287,219193100
2013-01-16,70.662857,72.777145,70.357140,72.298569,63.465691,172701200
2013-01-17,72.901428,72.964287,71.718575,71.811432,63.038078,113419600
2013-01-18,71.217140,71.745712,70.914284,71.428574,62.701996,118230700
2013-01-22,72.080002,72.554283,70.947144,72.110001,63.300167,115386600
2013-01-23,72.687141,73.570000,72.110001,73.430000,64.458878,215377400
2013-01-24,65.714287,66.532860,64.321426,64.357140,56.494480,365213100
2013-01-25,64.527145,65.175713,62.142857,62.840000,55.162701,302006600
2013-01-28,62.547142,64.744286,62.265713,64.261429,56.410473,196379400
2013-01-29,65.500000,65.742859,64.588570,65.467140,57.468884,142789500
2013-01-30,65.285713,66.085716,64.928574,65.261429,57.288307,104288800
2013-01-31,65.282860,65.611427,64.997147,65.070000,57.120266,79833600
2013-02-01,65.587143,65.639999,64.050003,64.802856,56.885754,134871100
2013-02-04,64.844284,65.134285,63.142857,63.188572,55.468674,119279300
2013-02-05,63.435715,65.677139,63.174286,65.405716,57.414951,143336900
2013-02-06,65.209999,66.642860,64.654289,65.335716,57.353516,148426600
2013-02-07,66.178574,67.142860,64.874283,66.888573,59.058853,176145200
2013-02-08,67.714287,68.401428,66.892860,67.854286,59.911518,158289600
2013-02-11,68.071426,69.277145,67.607140,68.561432,60.535877,129372600
2013-02-12,68.501427,68.911430,66.820000,66.842857,59.018475,152263300
2013-02-13,66.744286,67.662857,66.174286,66.715714,58.906216,118801900
2013-02-14,66.360001,67.377144,66.288574,66.655716,58.853249,88818800
2013-02-15,66.978569,67.165718,65.702858,65.737144,58.042206,97936300
